,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
90,2022-11-11 19:39:48.968,0,0,0,0,False,8,car,0 days 00:00:25.493000,0 days 00:53:44.178000
91,2022-11-11 19:39:49.128,0,0,0,0,False,8,car,0 days 00:00:25.653000,0 days 00:53:44.338000
92,2022-11-11 19:39:49.408,0,0,0,0,False,8,car,0 days 00:00:25.933000,0 days 00:53:44.618000
93,2022-11-11 19:39:49.728,0,0,0,0,False,8,car,0 days 00:00:26.253000,0 days 00:53:44.938000
94,2022-11-11 19:39:50.128,0,0,0,0,False,8,car,0 days 00:00:26.653000,0 days 00:53:45.338000
95,2022-11-11 19:39:50.368,0,0,0,0,False,8,car,0 days 00:00:26.893000,0 days 00:53:45.578000
96,2022-11-11 19:39:50.728,0,0,0,0,False,8,car,0 days 00:00:27.253000,0 days 00:53:45.938000
97,2022-11-11 19:39:50.888,0,0,0,0,False,8,car,0 days 00:00:27.413000,0 days 00:53:46.098000
98,2022-11-11 19:39:51.048,0,0,0,0,False,8,car,0 days 00:00:27.573000,0 days 00:53:46.258000
99,2022-11-11 19:39:51.248,0,0,0,0,False,8,car,0 days 00:00:27.773000,0 days 00:53:46.458000
100,2022-11-11 19:39:51.448,0,0,0,0,False,8,car,0 days 00:00:27.973000,0 days 00:53:46.658000
101,2022-11-11 19:39:51.608,0,0,0,0,False,8,car,0 days 00:00:28.133000,0 days 00:53:46.818000
102,2022-11-11 19:39:51.888,0,0,0,0,False,8,car,0 days 00:00:28.413000,0 days 00:53:47.098000
103,2022-11-11 19:39:52.208,0,0,0,0,False,8,car,0 days 00:00:28.733000,0 days 00:53:47.418000
104,2022-11-11 19:39:52.408,0,0,0,0,False,8,car,0 days 00:00:28.933000,0 days 00:53:47.618000
105,2022-11-11 19:39:52.727,0,0,0,0,False,8,car,0 days 00:00:29.252000,0 days 00:53:47.937000
106,2022-11-11 19:39:52.887,0,0,0,0,False,8,car,0 days 00:00:29.412000,0 days 00:53:48.097000
107,2022-11-11 19:39:53.087,0,0,0,0,False,8,car,0 days 00:00:29.612000,0 days 00:53:48.297000
108,2022-11-11 19:39:53.447,0,0,0,0,False,8,car,0 days 00:00:29.972000,0 days 00:53:48.657000
109,2022-11-11 19:39:53.647,0,0,0,0,False,8,car,0 days 00:00:30.172000,0 days 00:53:48.857000
110,2022-11-11 19:39:54.088,0,0,0,0,False,8,car,0 days 00:00:30.613000,0 days 00:53:49.298000
111,2022-11-11 19:39:54.248,0,0,0,0,False,8,car,0 days 00:00:30.773000,0 days 00:53:49.458000
112,2022-11-11 19:39:54.408,0,0,0,0,False,8,car,0 days 00:00:30.933000,0 days 00:53:49.618000
113,2022-11-11 19:39:54.608,0,0,0,0,False,8,car,0 days 00:00:31.133000,0 days 00:53:49.818000
114,2022-11-11 19:39:54.888,0,0,0,0,False,8,car,0 days 00:00:31.413000,0 days 00:53:50.098000
115,2022-11-11 19:39:55.048,0,0,0,0,False,8,car,0 days 00:00:31.573000,0 days 00:53:50.258000
116,2022-11-11 19:39:55.248,0,0,0,0,False,8,car,0 days 00:00:31.773000,0 days 00:53:50.458000
117,2022-11-11 19:39:55.408,0,0,0,0,False,8,car,0 days 00:00:31.933000,0 days 00:53:50.618000
118,2022-11-11 19:39:55.568,0,0,0,0,False,8,car,0 days 00:00:32.093000,0 days 00:53:50.778000
119,2022-11-11 19:39:55.848,0,0,0,0,False,8,car,0 days 00:00:32.373000,0 days 00:53:51.058000
120,2022-11-11 19:39:56.088,0,0,0,0,False,8,car,0 days 00:00:32.613000,0 days 00:53:51.298000
121,2022-11-11 19:39:56.248,0,0,0,0,False,8,car,0 days 00:00:32.773000,0 days 00:53:51.458000
122,2022-11-11 19:39:56.528,0,0,0,0,False,8,car,0 days 00:00:33.053000,0 days 00:53:51.738000
123,2022-11-11 19:39:56.768,0,0,0,0,False,8,car,0 days 00:00:33.293000,0 days 00:53:51.978000
124,2022-11-11 19:39:56.928,0,0,0,0,False,8,car,0 days 00:00:33.453000,0 days 00:53:52.138000
125,2022-11-11 19:39:57.128,0,0,0,0,False,8,car,0 days 00:00:33.653000,0 days 00:53:52.338000
126,2022-11-11 19:39:57.288,0,0,0,0,False,8,car,0 days 00:00:33.813000,0 days 00:53:52.498000
127,2022-11-11 19:39:57.608,0,0,0,0,False,8,car,0 days 00:00:34.133000,0 days 00:53:52.818000
128,2022-11-11 19:39:57.848,0,0,0,0,False,8,car,0 days 00:00:34.373000,0 days 00:53:53.058000
129,2022-11-11 19:39:58.208,0,0,0,0,False,8,car,0 days 00:00:34.733000,0 days 00:53:53.418000
130,2022-11-11 19:39:58.408,0,0,0,0,False,8,car,0 days 00:00:34.933000,0 days 00:53:53.618000
131,2022-11-11 19:39:58.568,0,0,0,0,False,8,car,0 days 00:00:35.093000,0 days 00:53:53.778000
132,2022-11-11 19:39:58.888,0,0,0,0,False,8,car,0 days 00:00:35.413000,0 days 00:53:54.098000
133,2022-11-11 19:39:59.208,0,0,0,0,False,8,car,0 days 00:00:35.733000,0 days 00:53:54.418000
134,2022-11-11 19:39:59.408,0,0,0,0,False,8,car,0 days 00:00:35.933000,0 days 00:53:54.618000
135,2022-11-11 19:40:00.487,0,0,0,0,False,8,car,0 days 00:00:37.012000,0 days 00:53:55.697000
136,2022-11-11 19:40:00.728,0,0,0,0,False,8,car,0 days 00:00:37.253000,0 days 00:53:55.938000
137,2022-11-11 19:40:00.928,0,0,0,0,True,8,car,0 days 00:00:37.453000,0 days 00:53:56.138000
138,2022-11-11 19:40:01.328,0,0,0,104,True,8,car,0 days 00:00:37.853000,0 days 00:53:56.538000
139,2022-11-11 19:40:01.528,0,0,0,104,True,8,car,0 days 00:00:38.053000,0 days 00:53:56.738000
140,2022-11-11 19:40:01.688,0,0,0,104,True,8,car,0 days 00:00:38.213000,0 days 00:53:56.898000
141,2022-11-11 19:40:01.968,0,0,0,104,True,8,car,0 days 00:00:38.493000,0 days 00:53:57.178000
142,2022-11-11 19:40:02.248,0,0,0,104,True,8,car,0 days 00:00:38.773000,0 days 00:53:57.458000
143,2022-11-11 19:40:02.488,0,0,0,104,True,8,car,0 days 00:00:39.013000,0 days 00:53:57.698000
144,2022-11-11 19:40:02.848,0,0,0,104,True,8,car,0 days 00:00:39.373000,0 days 00:53:58.058000
145,2022-11-11 19:40:03.008,0,0,0,104,True,8,car,0 days 00:00:39.533000,0 days 00:53:58.218000
146,2022-11-11 19:40:03.488,0,0,0,104,True,8,car,0 days 00:00:40.013000,0 days 00:53:58.698000
147,2022-11-11 19:40:03.808,0,0,0,104,True,8,car,0 days 00:00:40.333000,0 days 00:53:59.018000
148,2022-11-11 19:40:04.088,0,0,0,104,True,8,car,0 days 00:00:40.613000,0 days 00:53:59.298000
149,2022-11-11 19:40:04.288,0,0,0,104,True,8,car,0 days 00:00:40.813000,0 days 00:53:59.498000
150,2022-11-11 19:40:04.648,0,0,0,104,True,8,car,0 days 00:00:41.173000,0 days 00:53:59.858000
151,2022-11-11 19:40:05.128,0,0,0,104,True,8,car,0 days 00:00:41.653000,0 days 00:54:00.338000
152,2022-11-11 19:40:05.408,0,0,0,104,True,8,car,0 days 00:00:41.933000,0 days 00:54:00.618000
153,2022-11-11 19:40:05.568,0,0,0,104,True,8,car,0 days 00:00:42.093000,0 days 00:54:00.778000
154,2022-11-11 19:40:05.808,0,0,0,104,True,8,car,0 days 00:00:42.333000,0 days 00:54:01.018000
155,2022-11-11 19:40:06.048,0,0,0,104,True,8,car,0 days 00:00:42.573000,0 days 00:54:01.258000
156,2022-11-11 19:40:06.248,0,0,0,104,True,8,car,0 days 00:00:42.773000,0 days 00:54:01.458000
157,2022-11-11 19:40:06.447,0,0,0,104,True,8,car,0 days 00:00:42.972000,0 days 00:54:01.657000
158,2022-11-11 19:40:06.767,0,0,0,104,True,8,car,0 days 00:00:43.292000,0 days 00:54:01.977000
159,2022-11-11 19:40:07.167,0,0,0,104,True,8,car,0 days 00:00:43.692000,0 days 00:54:02.377000
160,2022-11-11 19:40:07.448,0,0,0,104,True,8,car,0 days 00:00:43.973000,0 days 00:54:02.658000
161,2022-11-11 19:40:07.768,0,0,0,104,True,8,car,0 days 00:00:44.293000,0 days 00:54:02.978000
162,2022-11-11 19:40:07.968,0,0,0,104,True,8,car,0 days 00:00:44.493000,0 days 00:54:03.178000
163,2022-11-11 19:40:08.168,0,0,0,104,True,8,car,0 days 00:00:44.693000,0 days 00:54:03.378000
164,2022-11-11 19:40:08.408,0,0,0,104,True,8,car,0 days 00:00:44.933000,0 days 00:54:03.618000
165,2022-11-11 19:40:08.608,0,0,0,104,True,8,car,0 days 00:00:45.133000,0 days 00:54:03.818000
166,2022-11-11 19:40:09.048,0,0,0,104,True,8,car,0 days 00:00:45.573000,0 days 00:54:04.258000
167,2022-11-11 19:40:09.408,0,0,0,104,True,8,car,0 days 00:00:45.933000,0 days 00:54:04.618000
168,2022-11-11 19:40:09.688,0,0,0,104,True,8,car,0 days 00:00:46.213000,0 days 00:54:04.898000
169,2022-11-11 19:40:09.888,0,0,0,104,True,8,car,0 days 00:00:46.413000,0 days 00:54:05.098000
170,2022-11-11 19:40:10.168,0,0,0,104,True,8,car,0 days 00:00:46.693000,0 days 00:54:05.378000
171,2022-11-11 19:40:10.368,0,0,0,104,True,8,car,0 days 00:00:46.893000,0 days 00:54:05.578000
172,2022-11-11 19:40:10.728,0,0,0,104,True,8,car,0 days 00:00:47.253000,0 days 00:54:05.938000
173,2022-11-11 19:40:11.048,0,0,0,104,True,8,car,0 days 00:00:47.573000,0 days 00:54:06.258000
174,2022-11-11 19:40:11.248,0,0,0,104,True,8,car,0 days 00:00:47.773000,0 days 00:54:06.458000
175,2022-11-11 19:40:11.568,0,0,0,104,True,8,car,0 days 00:00:48.093000,0 days 00:54:06.778000
176,2022-11-11 19:40:11.928,0,0,0,104,True,8,car,0 days 00:00:48.453000,0 days 00:54:07.138000
177,2022-11-11 19:40:12.208,0,0,0,104,True,8,car,0 days 00:00:48.733000,0 days 00:54:07.418000
178,2022-11-11 19:40:12.368,0,0,0,104,True,8,car,0 days 00:00:48.893000,0 days 00:54:07.578000
179,2022-11-11 19:40:12.568,0,0,0,104,True,8,car,0 days 00:00:49.093000,0 days 00:54:07.778000
180,2022-11-11 19:40:12.928,0,0,0,104,True,8,car,0 days 00:00:49.453000,0 days 00:54:08.138000
181,2022-11-11 19:40:13.248,0,0,0,104,True,8,car,0 days 00:00:49.773000,0 days 00:54:08.458000
182,2022-11-11 19:40:13.487,0,0,0,104,True,8,car,0 days 00:00:50.012000,0 days 00:54:08.697000
183,2022-11-11 19:40:13.808,0,0,0,104,True,8,car,0 days 00:00:50.333000,0 days 00:54:09.018000
184,2022-11-11 19:40:14.168,0,0,0,104,True,8,car,0 days 00:00:50.693000,0 days 00:54:09.378000
185,2022-11-11 19:40:14.408,0,0,0,104,True,8,car,0 days 00:00:50.933000,0 days 00:54:09.618000
